Applicant_Type,Employee_Income_Persons,Employee_Income_Total,Employee_Income_Median,Unincorporated_Business_Income_Persons,Unincorporated_Business_Income_Total,Unincorporated_Business_Income_Median,Investment_Income_Persons,Investment_Income_Total,Investment_Income_Median,Other_Income_Persons,Other_Income_Total,Other_Income_Median,Total_Income_Persons,Total_Income_Total,Total_Income_Median,Year
Skilled,332690.0,25451525.0,60928.0,38493.0,1172186.0,11890.0,236967.0,408505.0,136.0,25329.0,147599.0,92.0,359226.0,27170289.0,58992.0,2014-15
Family,150006.0,7284097.0,39021.0,23852.0,497105.0,12352.0,99079.0,356124.0,110.0,11769.0,110769.0,190.0,171169.0,8242339.0,37321.0,2014-15
Humanitarian,17673.0,656237.0,34822.0,6749.0,152538.0,20238.0,8299.0,12904.0,63.0,1317.0,3014.0,70.0,22884.0,825038.0,32299.0,2014-15
Skilled,132671.0,5689468.0,36000.0,18274.0,361419.0,12867.0,86080.0,288405.0,97.0,8489.0,50094.0,101.0,149431.0,6386425.0,34567.0,2014-15
Family,3545.0,100977.0,20397.0,302.0,5320.0,10309.0,2303.0,15176.0,220.0,498.0,8817.0,7794.0,4362.0,130193.0,20991.0,2014-15
Humanitarian,3811.0,120413.0,25027.0,808.0,15888.0,17893.0,2068.0,2009.0,85.0,201.0,671.0,83.0,4564.0,139152.0,24132.0,2014-15
Skilled,465358.0,31139063.0,54002.0,56767.0,1532511.0,12246.0,323053.0,697353.0,123.0,33816.0,194303.0,95.0,508653.0,33562565.0,52311.0,2014-15
Family,153552.0,7385987.0,38627.0,24151.0,502620.0,12307.0,101382.0,370628.0,112.0,12263.0,119259.0,219.0,175536.0,8372243.0,37000.0,2014-15
Humanitarian,21488.0,776988.0,33023.0,7555.0,168469.0,19985.0,10364.0,14836.0,66.0,1519.0,3662.0,73.0,27448.0,964557.0,30907.0,2014-15
Skilled,275385.0,22986065.0,71561.0,36401.0,1132215.0,12862.0,213976.0,494067.0,162.0,26125.0,152761.0,136.0,304723.0,24763204.0,68236.0,2014-15
Family,206059.0,9722196.0,38730.0,37074.0,779110.0,15000.0,139784.0,527310.0,136.0,18912.0,200879.0,453.0,249807.0,11229537.0,35516.0,2014-15
Humanitarian,17023.0,646776.0,37222.0,5530.0,98788.0,15043.0,7287.0,8202.0,80.0,1226.0,2724.0,74.0,21523.0,756374.0,32001.0,2014-15
Skilled,202688.0,9363351.0,37397.0,24153.0,520900.0,11130.0,145507.0,449091.0,120.0,14014.0,68184.0,136.0,231407.0,10401069.0,35153.0,2014-15
Family,29807.0,881204.0,23445.0,3149.0,59834.0,16750.0,17910.0,69209.0,161.0,2716.0,31395.0,5583.0,35623.0,1041945.0,22708.0,2014-15
Humanitarian,28111.0,832799.0,23587.0,6947.0,130769.0,16268.0,11219.0,10240.0,57.0,1464.0,1962.0,54.0,33688.0,975385.0,23003.0,2014-15
Skilled,478066.0,32346605.0,55479.0,60558.0,1653474.0,12090.0,359480.0,942306.0,144.0,40138.0,220498.0,136.0,536126.0,35162138.0,52386.0,2014-15
Family,235867.0,10603826.0,36952.0,40224.0,838505.0,15167.0,157695.0,595339.0,139.0,21626.0,231227.0,624.0,285424.0,12273975.0,33796.0,2014-15
Humanitarian,45133.0,1479393.0,28850.0,12470.0,229236.0,15695.0,18506.0,18483.0,65.0,2688.0,4762.0,63.0,55210.0,1732164.0,26158.0,2014-15
Skilled,608067.0,48431193.0,65377.0,74895.0,2303850.0,12320.0,450948.0,903377.0,148.0,51451.0,299235.0,111.0,663948.0,51936887.0,62752.0,2014-15
Family,356064.0,17004542.0,38855.0,60925.0,1277051.0,14005.0,238859.0,882682.0,124.0,30683.0,310509.0,303.0,420974.0,19468124.0,36293.0,2014-15
Humanitarian,34699.0,1302861.0,35999.0,12280.0,251595.0,17737.0,15588.0,21057.0,70.0,2544.0,5823.0,73.0,44408.0,1582030.0,32185.0,2014-15
Skilled,335360.0,15051580.0,36824.0,42429.0,881891.0,11939.0,231588.0,736758.0,110.0,22502.0,118404.0,121.0,380833.0,16786164.0,34922.0,2014-15
Family,33357.0,982200.0,23137.0,3450.0,65200.0,16221.0,20220.0,83903.0,166.0,3216.0,39930.0,5851.0,39982.0,1172162.0,22526.0,2014-15
Humanitarian,31920.0,953149.0,23802.0,7751.0,146486.0,16422.0,13285.0,12393.0,59.0,1665.0,2715.0,57.0,38247.0,1114225.0,23146.0,2014-15
Skilled,943429.0,63481674.0,54617.0,117328.0,3185746.0,12171.0,682532.0,1642036.0,134.0,73956.0,413169.0,114.0,1044784.0,68721929.0,52347.0,2014-15
Family,389421.0,17987483.0,37543.0,64378.0,1342059.0,14162.0,259077.0,965103.0,127.0,33897.0,350705.0,403.0,460958.0,20642594.0,35046.0,2014-15
Humanitarian,66614.0,2255787.0,30312.0,20026.0,397703.0,17199.0,28872.0,33838.0,65.0,4212.0,8535.0,65.0,82651.0,2696257.0,27897.0,2014-15
Skilled,343912.0,27745622.0,64916.0,44746.0,1311693.0,10330.0,256001.0,428745.0,114.0,14284.0,139399.0,660.0,373504.0,29623324.0,62371.0,2015-16
Family,158172.0,8054950.0,41489.0,27216.0,574540.0,12227.0,109980.0,387944.0,93.0,7759.0,112453.0,1966.0,182367.0,9132691.0,39403.0,2015-16
Humanitarian,17699.0,716576.0,38478.0,8106.0,180909.0,20159.0,9710.0,13404.0,54.0,498.0,7424.0,3263.0,23881.0,918175.0,34722.0,2015-16
Skilled,143983.0,6516884.0,38442.0,21100.0,421665.0,12319.0,98277.0,324851.0,80.0,5045.0,41475.0,943.0,163090.0,7305787.0,36726.0,2015-16
Family,4013.0,122836.0,22494.0,343.0,5936.0,10070.0,2667.0,15187.0,138.0,468.0,9424.0,10691.0,4883.0,153827.0,22958.0,2015-16
Humanitarian,4228.0,145300.0,27174.0,884.0,17393.0,17624.0,2417.0,2021.0,64.0,90.0,858.0,3929.0,5021.0,165600.0,25759.0,2015-16
Skilled,487891.0,34261691.0,56500.0,65849.0,1731668.0,11000.0,354279.0,753162.0,103.0,19331.0,181339.0,722.0,536590.0,36929219.0,54600.0,2015-16
Family,162189.0,8177022.0,41011.0,27559.0,580287.0,12201.0,112646.0,403761.0,93.0,8234.0,122054.0,2378.0,187251.0,9286313.0,38945.0,2015-16
Humanitarian,21928.0,861867.0,36434.0,8991.0,198441.0,19900.0,12124.0,15438.0,56.0,591.0,8480.0,3293.0,28901.0,1083843.0,33309.0,2015-16
Skilled,283136.0,24532012.0,74941.0,42467.0,1279608.0,11729.0,227187.0,509979.0,134.0,16761.0,179920.0,952.0,316775.0,26506100.0,70755.0,2015-16
Family,220999.0,10825177.0,40076.0,41436.0,884779.0,15064.0,155490.0,574760.0,112.0,14010.0,237487.0,4726.0,270443.0,12519319.0,36467.0,2015-16
Humanitarian,18301.0,717888.0,38421.0,5667.0,97423.0,13485.0,8407.0,6498.0,56.0,425.0,3090.0,3531.0,22857.0,825865.0,33032.0,2015-16
Skilled,219714.0,10581924.0,39517.0,28105.0,608189.0,10884.0,164230.0,481560.0,96.0,9910.0,89322.0,1107.0,253225.0,11762690.0,36692.0,2015-16
Family,33765.0,1066746.0,25439.0,3892.0,74745.0,16735.0,21570.0,110468.0,114.0,2315.0,34637.0,9326.0,40807.0,1280927.0,24000.0,2015-16
Humanitarian,31783.0,988358.0,24969.0,7033.0,123214.0,13811.0,13722.0,13079.0,39.0,426.0,8282.0,2256.0,37236.0,1130556.0,23965.0,2015-16
Skilled,502845.0,35114646.0,57819.0,70574.0,1888375.0,11367.0,391421.0,992546.0,115.0,26675.0,268435.0,1000.0,570003.0,38270109.0,53934.0,2015-16
Family,254759.0,11890540.0,38283.0,45325.0,959669.0,15204.0,177064.0,701012.0,112.0,16322.0,272422.0,5578.0,311251.0,13815422.0,34779.0,2015-16
Humanitarian,50084.0,1706163.0,30000.0,12701.0,220413.0,13634.0,22125.0,19700.0,45.0,855.0,11135.0,2867.0,60090.0,1956101.0,26974.0,2015-16
Skilled,627041.0,52269750.0,69151.0,87215.0,2589937.0,10936.0,483187.0,937977.0,122.0,31049.0,320295.0,802.0,690277.0,56121533.0,65906.0,2015-16
Family,379170.0,18881828.0,40639.0,68653.0,1460242.0,14084.0,265475.0,963636.0,103.0,21770.0,347453.0,3526.0,452814.0,21654052.0,37510.0,2015-16
Humanitarian,36001.0,1434661.0,38447.0,13772.0,278403.0,17325.0,18114.0,20005.0,55.0,926.0,10687.0,3364.0,46740.0,1744351.0,33929.0,2015-16
Skilled,363695.0,17099299.0,39046.0,49201.0,1030401.0,11575.0,262506.0,807175.0,90.0,14958.0,131085.0,1046.0,416318.0,19069339.0,36705.0,2015-16
Family,37779.0,1189530.0,25117.0,4237.0,80840.0,16327.0,24243.0,128310.0,116.0,2785.0,44047.0,9437.0,45687.0,1455904.0,23866.0,2015-16
Humanitarian,36013.0,1133541.0,25240.0,7918.0,140753.0,14127.0,16135.0,15027.0,42.0,521.0,9209.0,2613.0,42256.0,1296576.0,24180.0,2015-16
Skilled,990737.0,69371369.0,57100.0,136419.0,3619610.0,11187.0,745695.0,1743647.0,109.0,46004.0,451972.0,876.0,1106594.0,75189611.0,54320.0,2015-16
Family,416948.0,20071096.0,39338.0,72886.0,1540900.0,14218.0,289713.0,1089208.0,104.0,24555.0,392783.0,4569.0,498502.0,23102418.0,36356.0,2015-16
Humanitarian,72010.0,2569315.0,32180.0,21690.0,418862.0,16000.0,34253.0,34924.0,48.0,1439.0,18965.0,3120.0,88996.0,3041418.0,29305.0,2015-16
Skilled,349748.0,29491156.0,68889.0,50289.0,1431814.0,9348.0,260149.0,448937.0,94.0,15513.0,165305.0,890.0,380623.0,31545623.0,66073.0,2016-17
Family,165487.0,8767263.0,43699.0,30025.0,644765.0,12361.0,114246.0,437976.0,79.0,8603.0,121154.0,2456.0,191888.0,9969159.0,41286.0,2016-17
Humanitarian,17779.0,756923.0,40036.0,9384.0,207865.0,20281.0,9810.0,12762.0,52.0,610.0,12993.0,4705.0,24728.0,991407.0,35615.0,2016-17
Skilled,154377.0,7277870.0,40300.0,23405.0,466867.0,11576.0,104148.0,352488.0,66.0,5597.0,51398.0,1157.0,174966.0,8146569.0,38225.0,2016-17
Family,4592.0,147738.0,24104.0,395.0,6930.0,12247.0,2926.0,15235.0,98.0,481.0,8667.0,10013.0,5503.0,178624.0,23598.0,2016-17
Humanitarian,4667.0,171729.0,30644.0,949.0,20059.0,16303.0,2649.0,2031.0,49.0,104.0,845.0,2017.0,5499.0,194651.0,28395.0,2016-17
Skilled,504123.0,36769021.0,59301.0,73690.0,1896952.0,10128.0,364296.0,803619.0,85.0,21106.0,216277.0,965.0,555588.0,39695137.0,56627.0,2016-17
Family,170077.0,8915143.0,43211.0,30421.0,651840.0,12360.0,117171.0,453194.0,80.0,9092.0,130118.0,2830.0,197385.0,10147133.0,40800.0,2016-17
Humanitarian,22443.0,928270.0,38238.0,10333.0,228424.0,20062.0,12456.0,14983.0,51.0,711.0,14110.0,4488.0,30220.0,1185125.0,34554.0,2016-17
Skilled,292767.0,26007142.0,77625.0,46613.0,1365234.0,10459.0,230742.0,562712.0,102.0,17832.0,209478.0,1165.0,328428.0,28148748.0,73059.0,2016-17
Family,237464.0,11859332.0,41177.0,45242.0,983720.0,14992.0,164059.0,617894.0,93.0,14994.0,228686.0,5015.0,290686.0,13691334.0,37215.0,2016-17
Humanitarian,20070.0,792140.0,38246.0,5915.0,103274.0,13804.0,8346.0,6460.0,46.0,529.0,3625.0,1600.0,24541.0,904880.0,33754.0,2016-17
Skilled,239596.0,11773909.0,40509.0,31428.0,670909.0,10306.0,175141.0,515709.0,73.0,11027.0,104277.0,1294.0,276076.0,13065363.0,37434.0,2016-17
Family,38242.0,1257800.0,27127.0,4591.0,84270.0,15183.0,23952.0,76854.0,96.0,2611.0,36144.0,8726.0,46074.0,1455437.0,25126.0,2016-17
Humanitarian,36702.0,1166185.0,25924.0,6657.0,120945.0,14523.0,14540.0,18248.0,30.0,852.0,8555.0,146.0,41690.0,1310930.0,25163.0,2016-17
Skilled,532362.0,37780752.0,59309.0,78041.0,2038158.0,10387.0,405880.0,1079548.0,88.0,28863.0,313940.0,1212.0,604504.0,41219371.0,55006.0,2016-17
Family,275700.0,13117966.0,39374.0,49840.0,1068117.0,15000.0,188004.0,695101.0,93.0,17610.0,265092.0,5822.0,336766.0,15147420.0,35630.0,2016-17
Humanitarian,56772.0,1958385.0,30463.0,12572.0,224270.0,14188.0,22887.0,23940.0,35.0,1384.0,12329.0,227.0,66228.0,2215070.0,28094.0,2016-17
Skilled,642513.0,55494793.0,72614.0,96905.0,2798021.0,9854.0,490892.0,1015764.0,98.0,33347.0,377329.0,1023.0,709046.0,59686925.0,69085.0,2016-17
Family,402947.0,20623184.0,42147.0,75269.0,1627928.0,13984.0,278305.0,1057217.0,86.0,23603.0,348276.0,3949.0,482572.0,23657860.0,38778.0,2016-17
Humanitarian,37847.0,1549232.0,39074.0,15299.0,311012.0,17916.0,18155.0,18709.0,49.0,1145.0,17056.0,3188.0,49271.0,1895836.0,34838.0,2016-17
Skilled,393973.0,19052319.0,40417.0,54831.0,1136914.0,10884.0,279286.0,869354.0,70.0,16624.0,155136.0,1249.0,451040.0,21213895.0,37761.0,2016-17
Family,42829.0,1405029.0,26809.0,4991.0,91597.0,14960.0,26881.0,91926.0,96.0,3100.0,45072.0,8944.0,51579.0,1633883.0,25000.0,2016-17
Humanitarian,41370.0,1337793.0,26399.0,7608.0,140794.0,14712.0,17188.0,20000.0,32.0,953.0,9128.0,164.0,47186.0,1504890.0,25525.0,2016-17
Skilled,1036487.0,74544028.0,59304.0,151737.0,3935855.0,10256.0,770176.0,1889323.0,87.0,49972.0,533461.0,1096.0,1160089.0,80906277.0,55904.0,2016-17
Family,445781.0,22028690.0,40747.0,80263.0,1718995.0,14039.0,305182.0,1149065.0,87.0,26697.0,393956.0,4775.0,534150.0,25293182.0,37413.0,2016-17
Humanitarian,79213.0,2886402.0,32792.0,22904.0,451958.0,16852.0,35337.0,39412.0,40.0,2095.0,24147.0,931.0,96451.0,3399154.0,30365.0,2016-17
